label,count,mean,std,min,10%,25%,50%,75%,90%,max
0,16620.0,0.10860113182234221,0.1825239448418622,0.0021821644224398018,0.005164903546981953,0.00880102650354176,0.02454397392035569,0.09503922208268917,0.4090541846721011,0.8800435852544531
1,16487.0,0.03435300836246767,0.041640957603184064,0.002178710338065941,0.005595312175897117,0.009252748497688184,0.016958099979257412,0.04298050308148413,0.08695333109335193,0.43006987177071987
2,26427.0,0.023678649661520612,0.03647615247898259,0.0021779843082729154,0.004540344326903131,0.0062536818087533695,0.011257000622277536,0.024660000586455302,0.05393923953518634,0.5320326230061595
3,12166.0,0.16652357395286682,0.2454447877995905,0.002182938322329071,0.005544492843808338,0.010606512887872024,0.034895664279180505,0.23793677476599265,0.6170304636073987,0.9378716421928477
4,18670.0,0.048530211134159555,0.06531308849229917,0.002178453002492067,0.005397013067828251,0.009827728808680354,0.0208400216149087,0.05813602045150595,0.1335206177194592,0.4562612461168423
5,22731.0,0.0431969782813054,0.06035066217864545,0.0021787874170344688,0.004848371707114707,0.008091682223605061,0.019946484070204027,0.051695809921172856,0.11064592324656289,0.6105168264848368
6,28505.0,0.04465100428813391,0.06214601519096003,0.002179920072193043,0.005509230450114084,0.008802323169466915,0.018629330467124422,0.051728063439759095,0.12173730390889362,0.46894251521359187
7,91965.0,0.04523919720394928,0.07031858246726438,0.0021789369772786645,0.004662217854761132,0.007643314413424968,0.016527691350342252,0.04770794342078996,0.1234473794408172,0.6567049056161762
8,67424.0,0.032964412034913,0.06929292808489149,0.0021783697031155535,0.004562331466500725,0.0061325451151213435,0.011878863306367974,0.02890069512899573,0.06945496994141995,0.8276470685198059
9,197877.0,0.030227404054643702,0.048430601402164895,0.002177974571982154,0.00414379504373078,0.006111802530595312,0.012868077298512326,0.03284339414199737,0.07427578292875164,0.8440466111093555
10,36688.0,0.05560299720173644,0.08441976978233884,0.002178054355475893,0.00507882182119892,0.009493320543621122,0.021659821995163676,0.06291020438275972,0.1515269416962588,0.82502183516573
11,124977.0,0.04369261387772434,0.06240668805718321,0.002179446239375989,0.005001244555071561,0.008491564405283427,0.019427920446136733,0.051188343319500215,0.11248415689996566,0.6864254565141032
12,18339.0,0.02657901402069889,0.04386317705061867,0.0021780135171451994,0.004358431860609832,0.006370047707944409,0.012164696121136692,0.02862839648348245,0.06095340256373486,0.7143634732049967
13,138836.0,0.03560368133629762,0.06032910134737797,0.0021780282568076023,0.004704418170504045,0.006580584940883634,0.013792366728894417,0.035677401264335475,0.08838285328663871,0.7827718434455458
14,2.0,0.41485169052063886,0.0,0.41485169052063886,0.41485169052063886,0.41485169052063886,0.41485169052063886,0.41485169052063886,0.41485169052063886,0.41485169052063886
